AreaManagerId,FareCalculationCode,StartDateFarePart,StartDurationFarePart,EndDurationFarePart,AmountFarePart,StepSizeFarePart,EndDateFarePart,AmountCumulative
717,TAR05,20190304,0,999999,0.03833333,1,20200117,0.00000000
424,DAG02,20120412,0,999999,6.00000000,720,20130101,0.00000000
2449,GAR10,20131107,0,999999,8.00000000,1440,20140901,0.00000000
855,TAR07,20140325,0,30,0.50000000,30,29991231,0.00000000
855,TAR01,20131017,0,999999,0.90000000,60,20131230,0.00000000
2062,GAR04,20131105,0,999999,9.50000000,1440,29991231,0.00000000
355,GAR03,20200713,0,999999,8.00000000,1440,29991231,0.00000000
361,REG14,20190822,0,999999,0.04650000,1,20200201,0.00000000
361,REG04,20200201,0,999999,0.01316667,1,29991231,0.00000000
34,BEZVGBZ,20170102,4,240,0.20000000,236,29991231,0.00000000
957,TAR01,20131018,0,999999,1.00000000,40,29991231,0.00000000
268,TER02,20131002,0,180,1.05000000,60,29991231,0.00000000
361,REG07,20120405,0,999999,0.03666667,1,20130501,0.00000000
377,TAR06,20200127,0,999999,0.02416667,1,29991231,0.00000000
361,GAR03,20190201,0,999999,5.70000000,1440,20200201,0.00000000
363,TC10C,20050101,0,999999,0.10000000,60,29991231,0.00000000
34,BEZVGAS,20170102,4,120,1.40000000,116,29991231,0.00000000
200,TAR05,20190101,0,999999,0.04433333,1,29991231,0.00000000
153,TAR1,20130101,0,300,0.04000000,1,20140106,0.00000000
361,REG16,20200201,168,999999,0.00000000,240,29991231,3.52800036
988,GAR02,20131001,1320,999999,1.10000000,60,20141027,11.00000000
373,TBGETRAPT,20130320,60,999999,0.03000000,1,29991231,1.00000020
424,TAR02,20120412,0,999999,0.10000000,6,20130101,0.00000000
34,BEZVGAS,20161101,4,120,1.40000000,116,20170102,0.00000000
938,TAR02,20120503,0,999999,0.01000000,1,29991231,0.00000000
200,GAR05,20131212,0,999999,0.50033333,19,20140101,0.00000000
34,BEZVGAB,20170102,4,120,0.70000000,116,29991231,0.00000000
622,TAR02,20131017,0,999999,12.50000000,660,29991231,0.00000000
361,REG03,20190201,0,999999,0.04650000,1,20200201,0.00000000
200,GAR13,20131212,0,999999,4.30000000,720,20140101,0.00000000
2449,TER09,20131106,0,999999,3.00000000,60,29991231,0.00000000
114,TAR02,20120427,0,999999,0.09333333,4,20120518,0.00000000
80,GAR06,20131126,0,60,2.00000000,60,20140101,0.00000000
1783,TAR02,20131024,0,999999,0.00000000,60,29991231,0.00000000
34,BEZVGAS,20170102,0,4,0.00000000,4,29991231,0.00000000
34,BEZVGAS,20161101,120,999999,1.40000000,120,20170102,1.40000000
34,BEZVGAS,20161101,0,4,0.00000000,4,20170102,0.00000000
